,Division,Time,home_team,away_team,full_time_home_goals,full_time_away_goals,half_time_home_goals,half_time_away_goals,Referee,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_coef,draw_coef,away_coef,away_shots_on_target
62,2,,305,451,0,1,0,0,-1,,,,,,,,,,,,,5.15665185,4.16770492,1.735702775,
63,9,,430,95,1,1,0,0,-1,12,6,9,2,7,4,10,3,1,0,0,0,2.217507465,3.527852785,3.628648579,1.080902895
64,5,,147,168,1,1,0,0,-1,,,,,,,,,,,,,6.35600712,4.200049505,1.627137823,
65,10,,33,436,0,0,0,0,0,14,3,4,2,12,8,7,0,0,0,0,0,1.448040602,4.786578658,9.050253765,2.139685257
66,9,,210,438,0,0,0,0,-1,9,7,2,5,11,14,3,6,0,1,0,0,3.349834983,3.349834983,2.421567458,-0.537595326
67,9,,474,134,0,3,0,2,-1,8,7,4,4,5,5,9,3,0,3,0,0,2.89134577,3.369913346,2.721853087,1.017737179
68,9,,491,120,1,1,1,1,-1,15,7,6,3,16,16,4,5,1,1,0,0,3.039460091,3.475116038,2.543014943,-0.94538038
69,2,,339,390,5,0,1,0,-1,,,,,,,,,,,,,1.256461031,6.69425959,15.44829136,
70,9,,122,404,3,0,1,0,-1,19,11,10,6,10,15,8,6,1,2,0,1,2.071939742,3.628421304,3.972060091,-0.159449051
71,10,,479,264,3,0,1,0,1,15,14,10,7,10,11,7,3,1,4,0,1,4.370737074,3.584203523,1.991224179,0.058160486
72,10,,181,318,5,0,2,0,2,11,4,9,2,12,11,6,3,0,0,0,0,1.852456407,3.815058871,4.80637338,0.391903567
73,9,,367,115,0,0,0,0,-1,12,6,7,2,10,10,8,3,2,1,0,0,2.020784603,3.637412285,4.162816282,0.65189917
74,3,,17,20,0,3,0,1,-1,,,,,,,,,,,,,3.143238053,3.650211932,2.392916711,
75,1,,425,217,1,2,0,1,-1,13,9,6,2,9,11,9,2,3,2,0,0,2.337618216,3.414955306,3.455609536,0.595597759
76,1,,424,5,1,2,0,1,-1,9,8,5,4,16,11,1,4,2,3,0,0,2.364249491,3.299888651,3.521222646,-0.272836751
77,1,,393,99,1,1,0,0,-1,7,19,4,10,12,14,1,9,1,0,0,0,8.106246866,4.458435776,1.509788479,-0.263248846
78,1,,239,300,1,2,1,2,-1,8,12,6,3,7,14,3,5,2,2,0,0,2.775942301,3.378076845,2.826970652,0.496846837
79,6,,489,380,2,0,0,0,-1,,,,,,,,,,,,,2.264567575,3.269913718,3.80812933,
80,6,,271,215,1,0,1,0,-1,,,,,,,,,,,,,2.826184419,3.280392629,2.84637145,
81,6,,194,395,0,0,0,0,-1,,,,,,,,,,,,,2.131686886,3.339642788,4.141563092,
82,10,,310,444,2,1,0,0,3,6,12,4,6,12,8,3,5,2,2,0,0,2.708460189,3.48087291,2.828836198,-0.14081296
83,10,,369,437,0,5,0,1,4,20,12,11,8,11,14,5,3,2,2,0,0,2.097615468,3.525991716,4.00544668,-0.641280045
84,10,,377,432,1,1,0,1,5,9,6,3,3,9,14,4,3,2,4,0,1,2.424121278,3.403870295,3.292764736,0.68030758
85,10,,480,36,1,0,1,0,6,8,10,4,6,17,8,6,4,0,1,0,0,2.306514578,3.499885164,3.439715219,-0.968548694
86,1,,211,225,2,2,2,0,-1,7,8,3,1,14,16,6,3,3,4,0,1,1.996907383,3.565906041,4.370781976,0.558483885
87,9,,291,326,2,0,1,0,-1,8,6,6,2,12,13,4,4,3,2,1,0,1.6752759,3.992573701,6.149366027,1.317414656
88,3,,429,76,3,1,1,0,-1,,,,,,,,,,,,,2.209085377,3.65503217,3.524495307,
89,2,,169,212,1,1,0,0,-1,,,,,,,,,,,,,1.555890806,4.617482391,6.635121436,
90,9,,125,320,1,2,0,1,-1,9,10,4,3,13,15,8,4,1,3,0,1,2.81254554,3.553757903,2.680548818,-0.219784806
91,4,,142,351,0,1,0,1,-1,,,,,,,,,,,,,2.212523317,3.646566207,3.523648245,
92,11,,161,297,0,3,0,3,-1,10,7,5,5,9,10,7,2,2,2,0,0,1.984283261,3.714171232,4.222961811,0.427620385
93,11,,82,337,0,2,0,2,-1,13,9,6,5,11,15,8,2,1,3,0,0,2.429807409,3.462475558,3.229619015,-0.474006478
94,7,,290,66,0,2,0,1,-1,9,11,3,8,8,7,8,4,1,2,0,0,2.653228361,3.503881729,2.876018529,-0.131851299
95,7,,319,81,1,0,0,0,-1,10,6,4,3,4,4,4,7,1,1,0,0,1.884607135,3.660105436,4.850383626,1.990972079
96,4,,265,9,0,2,0,0,-1,,,,,,,,,,,,,1.6985993,4.180385104,5.492476779,
97,11,,394,85,3,0,2,0,-1,9,8,5,2,14,7,4,6,1,2,0,1,1.65952081,4.084209897,6.151157972,1.507239339
98,11,,389,317,0,0,0,0,-1,14,8,0,1,10,9,12,7,1,1,0,0,2.358056318,3.522033054,3.311313128,0.537824514
99,11,,363,51,3,0,2,0,-1,3,0,1,0,6,5,5,5,0,0,0,0,1.86742194,3.916538987,4.562566036,1.919234009
100,7,,254,356,2,0,0,0,-1,7,3,4,2,9,9,9,3,2,2,0,0,1.614897275,4.169371147,6.625972456,1.800421246
101,11,,108,128,2,0,1,0,-1,8,9,3,5,4,5,3,7,1,2,0,0,1.923534819,3.695211626,4.555740361,1.639573727
102,11,,360,19,0,2,0,1,-1,13,2,6,2,14,13,3,3,2,1,0,0,2.409960594,3.412423194,3.311164346,-0.16301476
103,11,,192,74,3,1,1,0,-1,7,9,3,3,16,7,8,5,2,0,0,0,2.202845285,3.556887799,3.637726158,-0.244600482
104,11,,171,443,0,0,0,0,-1,22,13,3,3,9,9,12,6,1,0,0,0,2.078173385,3.659612644,3.913048423,0.37682545
105,3,,175,433,4,0,1,0,-1,,,,,,,,,,,,,1.989212314,3.947663613,3.937409941,
106,4,,165,374,0,2,0,1,-1,,,,,,,,,,,,,1.853374328,3.880822488,4.699993462,
107,4,,139,121,0,3,0,2,-1,,,,,,,,,,,,,2.612287438,3.605981091,2.858149786,
108,8,,387,283,0,1,0,0,-1,,,,,,,,,,,,,2.9643381,3.248589699,2.740997559,
109,11,,492,487,1,3,0,2,-1,10,6,3,4,11,10,10,1,2,1,0,0,2.62794343,3.497186257,2.910952723,-0.204021308
110,11,,2,109,1,0,1,0,-1,6,16,4,11,8,12,3,8,1,2,0,0,3.163145605,3.57881538,2.412912352,-0.807698581
111,7,,52,288,1,0,1,0,-1,16,12,9,5,9,9,11,3,3,2,0,0,3.379250969,3.501025778,2.334017186,0.105089142
112,8,,58,417,2,2,0,0,-1,,,,,,,,,,,,,1.783224345,3.910935211,5.167297818,
113,4,,208,299,1,1,0,1,-1,,,,,,,,,,,,,2.493083691,3.590861283,3.026583082,
114,11,,416,7,0,1,0,0,-1,20,5,6,3,11,12,14,8,1,2,0,0,1.902182513,3.635060823,4.780353959,0.328316105
115,7,,226,65,1,1,0,1,-1,12,7,7,2,8,19,5,2,1,2,0,0,2.573910226,3.573193019,2.927192021,0.037446295
116,7,,222,80,1,0,0,0,-1,13,18,8,4,10,16,3,4,2,1,0,0,2.232562967,3.389436505,3.744616977,-0.128759477
117,7,,132,409,2,2,2,1,-1,6,7,4,6,7,14,9,4,1,2,0,0,2.474794183,3.464711856,3.151574633,-0.200592817
118,7,,252,485,1,0,1,0,-1,12,6,7,1,10,16,8,8,4,2,0,0,2.495779532,3.494091345,3.09476662,0.384925359
119,7,,83,70,2,0,1,0,-1,14,11,7,5,10,11,7,9,1,2,0,0,3.031645677,3.536919957,2.516265912,-0.089914241
120,7,,64,104,1,1,0,0,-1,14,9,7,4,9,10,3,7,0,1,0,0,1.855775578,3.650706054,5.070425075,0.79704812
121,12,,406,189,2,1,2,0,-1,16,10,5,3,15,17,8,8,4,4,0,0,1.690984995,3.919106401,6.117386895,0.516686261
122,12,,279,155,2,1,1,1,-1,17,13,9,5,14,14,7,4,3,2,0,0,2.072757191,3.513816952,4.115903565,-0.462477037
123,9,,86,77,0,0,0,0,-1,5,10,3,1,6,4,7,6,1,0,0,0,3.287282217,3.447637447,2.405328451,1.333618983
124,7,,127,476,2,3,2,1,-1,4,13,2,5,10,8,4,4,0,2,0,0,2.551179717,3.271512813,3.201480429,0.127427096
125,12,,98,278,0,1,0,0,-1,17,16,3,6,13,9,8,9,2,0,0,0,2.381773077,3.374178526,3.403950689,-0.559020055
126,2,,313,12,1,6,0,4,-1,,,,,,,,,,,,,4.768662757,3.775191349,1.867726246,
127,6,,322,418,2,0,1,0,-1,,,,,,,,,,,,,2.93548637,3.34319281,2.701055166,
128,12,,48,414,5,1,4,1,-1,18,5,10,2,9,12,9,1,2,3,0,0,1.11827957,11.98156682,30.95238095,11.88628218
129,12,,38,61,3,5,0,3,-1,17,13,8,9,12,17,11,4,2,2,0,0,1.92053255,3.790789379,4.434318611,-1.146840478
130,2,,130,472,2,2,1,1,-1,,,,,,,,,,,,,2.227972537,3.615391799,3.51412032,
131,6,,401,245,0,1,0,1,-1,,,,,,,,,,,,,2.041175546,3.41823656,4.394875578,
132,6,,148,361,4,2,3,1,-1,,,,,,,,,,,,,1.714760902,3.843081787,6.001663158,
133,8,,306,405,2,2,0,0,-1,,,,,,,,,,,,,1.7111251,3.875195078,5.968806965,
134,8,,205,419,0,0,0,0,-1,,,,,,,,,,,,,3.860647259,3.359264498,2.206084148,
135,12,,258,40,1,1,1,1,-1,6,11,1,3,17,7,3,6,2,1,0,0,3.369928621,3.331193809,2.420925733,-0.28072869
136,8,,340,298,1,1,1,0,-1,,,,,,,,,,,,,2.203838671,3.315775455,3.926839814,
137,6,,18,204,1,1,0,0,-1,,,,,,,,,,,,,1.704066215,3.712429968,6.50182407,
138,10,,280,415,3,2,1,0,7,20,9,15,6,4,6,7,3,1,2,0,0,1.208672766,7.554204788,19.89273927,7.265286655
139,10,,482,107,0,2,0,2,8,12,5,4,3,16,11,7,1,2,2,0,0,6.44468415,3.985789274,1.655788082,0.125337582
140,2,,202,483,1,1,1,0,-1,,,,,,,,,,,,,1.521937695,4.605088896,7.364214652,
141,2,,3,214,3,1,2,0,-1,,,,,,,,,,,,,1.385405207,5.343705799,9.89575148,
142,1,,141,140,3,0,3,0,-1,11,6,8,4,8,7,6,3,2,2,1,1,1.525253616,4.398634622,7.872276728,2.638912177
143,8,,191,365,0,0,0,0,-1,,,,,,,,,,,,,10.9476662,4.976211907,1.393339334,
144,5,,286,330,0,0,0,0,-1,,,,,,,,,,,,,2.613212141,3.266515176,3.113397277,
145,5,,237,84,0,1,0,1,-1,,,,,,,,,,,,,2.751520704,3.362969749,2.863619695,
146,5,,87,60,1,1,0,0,-1,,,,,,,,,,,,,2.839753753,3.326568682,2.799185842,
147,12,,378,458,1,1,1,1,-1,24,5,9,1,10,16,12,5,1,4,0,0,1.284034959,6.592053488,12.57747629,4.007546272
148,5,,185,26,3,1,0,0,-1,,,,,,,,,,,,,1.980567307,3.686902218,4.275994033,
149,6,,304,117,0,0,0,0,-1,,,,,,,,,,,,,2.67943203,3.278244491,3.014361034,
150,12,,461,198,1,0,0,0,-1,16,14,3,3,13,9,3,5,2,0,0,0,2.331535011,3.451883003,3.431696553,0.051328203
151,12,,493,460,0,1,0,1,-1,11,7,3,2,17,14,4,4,2,5,0,0,2.234244853,3.506662325,3.606852678,-0.110223322
152,12,,242,332,2,0,0,0,-1,10,11,3,1,14,13,5,7,3,4,0,0,2.144210196,3.401497084,4.005774503,0.54640677
153,10,,158,281,1,0,0,0,9,16,12,7,7,12,11,6,8,1,2,0,0,4.570289589,3.74565038,1.907599133,-0.420315582
154,8,,55,6,3,3,2,0,-1,,,,,,,,,,,,,2.63981686,3.230972759,3.108664642,
155,5,,182,236,2,1,1,0,-1,,,,,,,,,,,,,1.459485912,4.715262179,8.869183622,
156,7,,104,254,2,1,2,0,-1,9,15,7,6,6,11,6,4,0,1,0,0,3.138133669,3.431701013,2.500383924,0.006377337
157,7,,81,127,4,1,2,0,-1,13,7,6,4,12,12,7,2,2,2,0,0,2.4131999,3.398589859,3.318149862,-0.209337838
158,7,,80,94,0,0,0,0,-1,16,10,9,6,5,10,14,5,0,1,0,0,2.718144779,3.31210975,2.939623243,-0.013755863
159,7,,70,132,2,0,0,0,-1,16,7,10,4,13,15,6,5,3,1,0,0,1.737430555,3.896665059,5.624052662,0.220677024
160,11,,297,492,2,2,0,0,-1,11,9,5,7,14,6,9,3,0,1,0,0,2.329644729,3.443822643,3.443822643,-0.735287212
161,7,,66,252,2,1,0,1,-1,20,5,8,3,6,14,5,4,0,2,0,0,2.177778668,3.595867103,3.666771525,0.618710715
162,11,,128,360,0,0,0,0,-1,12,10,6,6,7,12,9,1,2,2,0,0,2.419554455,3.456506365,3.253182461,-0.01581051
163,11,,85,2,6,2,4,0,-1,20,16,12,8,11,14,8,13,0,2,0,0,2.641072931,3.453710756,2.92549617,-0.9509305
164,11,,74,171,1,0,0,0,-1,11,11,5,5,15,11,5,3,0,3,0,0,2.815254053,3.583050613,2.661694741,-0.671525594
165,11,,19,161,1,2,1,1,-1,10,7,3,4,9,13,2,7,1,1,0,0,2.071849077,3.650400754,3.946379194,0.338296088
166,11,,337,416,2,0,0,0,-1,21,2,8,1,9,11,8,1,0,1,0,1,2.281803811,3.549472594,3.448059092,0.709183944
167,11,,443,108,2,2,2,1,-1,19,13,9,5,9,12,3,9,0,1,0,0,2.189611818,3.564484355,3.666326766,0.097245162
168,11,,487,192,0,1,0,0,-1,8,10,3,4,16,10,5,6,1,1,0,1,2.399752475,3.529047758,3.22655795,-0.387390577
169,11,,317,394,2,1,1,1,-1,9,23,6,15,15,9,6,9,3,0,0,0,3.22655795,3.529047758,2.399752475,-2.265585014
170,7,,220,319,1,1,0,0,-1,12,11,1,6,10,13,4,7,1,3,0,0,2.83574581,3.352256654,2.785107492,-0.252467057
171,11,,109,389,1,1,0,0,-1,13,11,11,4,9,18,5,5,2,2,0,0,2.077439887,3.546848587,4.053541243,0.012228313
172,7,,288,83,3,2,1,1,-1,10,12,6,6,4,9,4,5,1,1,0,0,2.12558037,3.411050403,4.058846325,0.804755496
173,9,,120,408,1,1,0,0,-1,7,10,4,6,12,4,1,7,2,2,0,0,2.579905642,3.439874189,3.014948554,0.272196485
174,7,,409,64,3,2,2,0,-1,13,11,5,5,9,8,5,6,1,1,0,0,2.745604711,3.454801499,2.806393007,0.171387121
175,9,,410,367,1,0,1,0,-1,6,10,1,5,11,11,6,7,0,1,0,0,2.575563102,3.454284631,3.009873743,-0.347611516
176,9,,404,125,1,2,1,1,-1,10,7,1,3,9,12,4,2,0,1,0,0,2.131213648,3.643360475,3.754995476,0.332320725
177,9,,320,210,2,0,1,0,-1,9,2,7,0,8,10,6,2,0,1,0,0,1.823052894,3.78789879,5.064035815,1.447692595
178,9,,260,430,0,1,0,1,-1,11,6,6,3,14,12,5,0,2,1,0,0,2.775764315,3.393726444,2.816286422,-0.441646473
179,7,,356,290,1,2,1,1,-1,9,18,4,10,8,11,1,8,1,2,0,0,2.706451964,3.518387553,2.806690926,-0.501518253
180,9,,95,448,0,3,0,2,-1,5,10,1,6,14,11,1,8,4,2,0,0,2.126286649,3.483060034,3.958943237,-0.147038209
181,9,,134,86,2,1,1,1,-1,11,5,4,2,10,7,9,7,0,0,0,1,1.864165364,3.778713575,4.786370529,1.089732657
182,9,,73,291,1,1,1,0,-1,22,6,9,2,16,10,11,1,2,1,0,1,2.720971536,3.426408601,2.851981277,-0.327562181
183,9,,438,122,3,0,2,0,-1,8,7,5,2,12,8,11,5,1,1,0,0,2.186199248,3.501967314,3.744878341,0.301574098
184,9,,326,474,1,1,1,0,-1,9,9,5,4,12,15,3,6,1,1,0,0,2.243763213,3.43639411,3.658749023,-0.338118515
185,11,,51,82,1,1,1,0,-1,7,15,3,10,18,18,6,8,1,3,0,0,2.922772277,3.653465347,2.537128713,-2.287923792
186,11,,7,363,2,0,1,0,-1,4,13,3,6,4,11,8,10,2,3,0,0,2.556773534,3.579482948,2.945403112,0.662385167
187,7,,485,52,3,1,1,0,-1,14,13,9,4,11,13,6,3,0,1,0,0,1.710920851,4.005334939,5.686586642,0.448197024
188,7,,476,226,0,1,0,0,-1,7,14,5,4,12,7,4,5,1,0,0,0,2.279990442,3.55678509,3.445318891,0.08872393
189,9,,77,491,1,3,0,1,-1,18,12,7,8,10,15,8,9,0,3,0,0,1.815900768,3.682243224,5.326642253,-0.193891468
190,10,,107,377,4,2,1,2,10,23,7,11,5,11,14,1,5,0,2,0,0,1.290331048,6.151578252,13.80354144,3.715199929
191,7,,65,222,1,0,0,0,-1,10,12,5,5,11,4,8,5,1,0,0,0,1.938719856,3.583079106,4.648867509,0.47535009
192,8,,6,327,1,1,0,0,-1,,,,,,,,,,,,,2.160924907,3.404476033,3.94470726,
193,0,,216,382,2,1,2,0,-1,,,,,,,,,,,,,1.49173162,4.674092409,7.955901973,
194,0,,75,341,2,1,0,1,-1,,,,,,,,,,,,,1.983694689,3.560731966,4.443476102,
195,2,,472,390,1,0,0,0,-1,,,,,,,,,,,,,1.87006936,3.97389739,4.471904991,
196,5,,236,234,2,1,1,1,-1,,,,,,,,,,,,,2.274386731,3.574036291,3.442040633,
197,7,,70,319,2,2,1,1,-1,15,13,7,6,16,14,8,7,3,3,0,0,2.079207921,3.465346535,4.158415842,-0.748574857
198,13,,136,478,2,1,1,0,-1,19,10,6,3,18,14,7,2,2,2,0,0,1.338736269,5.745816981,11.23756722,2.133587604
199,14,,293,465,1,1,0,1,-1,,,,,,,,,,,,,3.061822112,3.133264628,2.745433827,
200,0,,399,455,2,0,1,0,-1,,,,,,,,,,,,,2.63016961,3.578254005,2.854447639,
201,2,,456,494,1,1,1,0,-1,,,,,,,,,,,,,1.64073854,4.223382537,6.107193453,
202,2,,457,130,2,4,1,1,-1,,,,,,,,,,,,,2.444789934,3.697744774,3.025427543,
203,6,,361,18,2,0,0,0,-1,,,,,,,,,,,,,2.795712693,3.322441172,2.846359662,
204,6,,379,49,3,2,2,1,-1,,,,,,,,,,,,,2.468198276,3.525997537,3.112952112,
205,6,,380,292,1,0,0,0,-1,,,,,,,,,,,,,2.241922233,3.237215063,3.920850543,
206,6,,395,467,0,0,0,0,-1,,,,,,,,,,,,,3.868239308,3.422682948,2.177150396,
207,13,,42,176,0,2,0,0,-1,16,9,4,4,16,14,3,0,3,2,0,0,2.164578703,3.463325924,3.856885689,-0.556243379
208,13,,146,259,2,1,0,1,-1,20,19,4,10,15,22,6,7,1,2,0,0,3.06150513,3.613579826,2.459241826,-2.352342137
209,13,,178,277,1,1,0,0,-1,8,8,4,3,14,13,9,8,0,2,0,0,2.645323487,3.442959195,2.928029814,-0.512756721
210,13,,200,54,0,3,0,1,-1,6,19,2,9,21,13,2,4,2,2,0,0,9.105543709,5.010509998,1.4273555,-0.57136045
211,13,,435,484,0,1,0,0,-1,10,13,5,3,16,23,7,6,1,0,0,0,2.053607758,3.656423569,4.007039528,-1.35629331
212,13,,274,218,2,1,1,0,-1,7,14,3,8,9,6,6,4,2,0,0,0,2.049333534,3.64438131,4.038095634,0.013192203
213,2,,214,169,1,2,0,2,-1,,,,,,,,,,,,,3.010233796,3.582178218,2.508528164,
214,6,,418,304,2,3,1,1,-1,,,,,,,,,,,,,1.746750741,3.747389672,5.859739406,
215,3,,433,429,1,1,0,1,-1,,,,,,,,,,,,,3.273377338,3.741002672,2.287297829,
216,3,,76,144,2,1,2,0,-1,,,,,,,,,,,,,2.73994575,3.680524142,2.678603681,
217,0,,119,426,2,0,1,0,-1,,,,,,,,,,,,,2.91877604,3.457783463,2.644187354,
218,3,,46,175,2,3,1,1,-1,,,,,,,,,,,,,1.900336316,3.922619348,4.369757305,
219,8,,417,55,3,1,2,0,-1,,,,,,,,,,,,,1.448839315,4.596317826,9.782163374,
220,8,,365,205,4,0,1,0,-1,,,,,,,,,,,,,1.291360507,5.916233019,15.01581984,
221,4,,9,142,1,2,1,0,-1,,,,,,,,,,,,,3.802258446,3.671837972,2.106792279,
222,13,,207,323,0,1,0,0,-1,11,18,5,8,16,20,9,6,4,2,0,0,2.189957524,3.415530083,3.837448505,-1.72184456
223,6,,204,194,1,5,1,1,-1,,,,,,,,,,,,,2.542527539,3.3052858,3.183244478,
224,6,,221,322,1,1,1,1,-1,,,,,,,,,,,,,2.678217822,3.246324632,3.043429343,
225,10,,36,158,1,3,0,3,2,7,19,3,11,10,7,1,9,1,0,1,0,3.111105067,3.329080581,2.576074259,-0.686305367
226,1,,225,99,2,4,0,2,-1,11,15,9,6,12,6,3,9,3,0,0,0,6.821270362,4.141485577,1.607870871,0.700025923
